impl,N,threads,processes,duration
mpi_omp,10,5,3,0.002984
mpi_omp,10,4,4,0.002452
mpi_omp,10,3,5,0.002312
mpi_omp,10,2,6,0.002368
mpi_omp,10,2,7,0.002465
mpi_omp,10,2,8,0.002443
mpi_omp,10,1,9,0.002454
mpi_omp,10,1,10,0.002537
mpi_omp,10,1,11,0.002926
mpi_omp,10,1,12,0.002485
mpi_omp,10,1,13,0.002506
mpi_omp,10,1,14,0.002604
mpi_omp,10,1,15,0.002993
mpi_omp,10,1,16,0.002500
mpi_omp,100,16,1,0.005831
mpi_omp,100,8,2,0.005497
mpi_omp,100,5,3,0.003288
mpi_omp,100,4,4,0.002993
mpi_omp,100,3,5,0.003677
mpi_omp,100,2,6,0.002927
mpi_omp,100,2,7,0.003307
mpi_omp,100,2,8,0.003230
mpi_omp,100,1,9,0.003226
mpi_omp,100,1,10,0.003154
mpi_omp,100,1,11,0.003169
mpi_omp,100,1,12,0.003000
mpi_omp,100,1,13,0.003289
mpi_omp,100,1,14,0.004046
mpi_omp,100,1,15,0.003215
mpi_omp,100,1,16,0.003252
mpi_omp,1000,16,1,0.045434
mpi_omp,1000,8,2,0.032399
mpi_omp,1000,5,3,0.020992
mpi_omp,1000,4,4,0.022749
mpi_omp,1000,3,5,0.018098
mpi_omp,1000,2,6,0.017112
mpi_omp,1000,2,7,0.013866
mpi_omp,1000,2,8,0.017746
mpi_omp,1000,1,9,0.017290
mpi_omp,1000,1,10,0.017414
mpi_omp,1000,1,11,0.016453
mpi_omp,1000,1,12,0.015631
mpi_omp,1000,1,13,0.016316
mpi_omp,1000,1,14,0.014592
mpi_omp,1000,1,15,0.014793
mpi_omp,1000,1,16,0.015787
mpi_omp,10000,16,1,0.474310
mpi_omp,10000,8,2,0.201817
mpi_omp,10000,5,3,0.182028
mpi_omp,10000,4,4,0.247429
mpi_omp,10000,3,5,0.132286
mpi_omp,10000,2,6,0.137503
mpi_omp,10000,2,7,0.151389
mpi_omp,10000,2,8,0.169717
mpi_omp,10000,1,9,0.138407
mpi_omp,10000,1,10,0.153650
mpi_omp,10000,1,11,0.169234
mpi_omp,10000,1,12,0.154744
mpi_omp,10000,1,13,0.128333
mpi_omp,10000,1,14,0.155487
mpi_omp,10000,1,15,0.166563
mpi_omp,10000,1,16,0.164916
